"glacier1","date1","plot1","date2","plot2","Plot1","Plot2","beta.bact","time_diff","beta.coll","beta.euka.uni","beta.euka.animals","beta.fung","beta.inse","beta.olig","beta.sper","beta.all.ani"
"adigi",1949,"a",1949,"c","adigi_1949_c","adigi_1949_a",0.744444444444444,0,1,0.625,0.777777777777778,0.62962962962963,0.80952380952381,NA,0.666666666666667,0.806451612903226
"adigi",1949,"a",1949,"d","adigi_1949_d","adigi_1949_a",0.827586206896552,0,1,0.333333333333333,0.666666666666667,0.717391304347826,0.714285714285714,NA,0.8,0.741935483870968
"adigi",1949,"a",1949,"e","adigi_1949_e","adigi_1949_a",0.75,0,1,0.555555555555556,0.714285714285714,0.643835616438356,0.722222222222222,NA,0.5,0.78125
"adigi",1949,"a",1963,"a","adigi_1963_a","adigi_1949_a",0.827814569536424,14,1,0.727272727272727,0.833333333333333,0.933333333333333,1,NA,0.8,0.962962962962963
"adigi",1949,"a",1963,"b","adigi_1963_b","adigi_1949_a",0.752066115702479,14,1,0.4,1,0.909090909090909,0.6,NA,1,0.75
"adigi",1949,"a",1963,"c","adigi_1963_c","adigi_1949_a",0.796610169491525,14,1,0.666666666666667,1,0.982758620689655,1,NA,1,1
"adigi",1949,"a",1963,"d","adigi_1963_d","adigi_1949_a",0.794871794871795,14,1,0.428571428571429,0.857142857142857,0.921875,1,NA,1,0.966666666666667
"adigi",1949,"a",1963,"e","adigi_1963_e","adigi_1949_a",0.788617886178862,14,1,0.428571428571429,1,1,1,NA,1,1
"adigi",1949,"a",1981,"a","adigi_1981_a","adigi_1949_a",0.838383838383838,32,1,0.692307692307692,1,0.882352941176471,0.941176470588235,NA,1,0.956521739130435
"adigi",1949,"a",1981,"b","adigi_1981_b","adigi_1949_a",0.766129032258065,32,1,0.6,0.833333333333333,0.813333333333333,1,NA,1,0.964285714285714
"adigi",1949,"a",1981,"c","adigi_1981_c","adigi_1949_a",0.805309734513274,32,1,0.833333333333333,1,0.857142857142857,1,NA,1,1
